Energy [MeV],Total Flux [cm⁻²·s⁻¹·MeV⁻¹]
4.007357357357358,503117.84313577414
4.037337337337338,506817.36885830516
4.067317317317317,510476.428356612
4.097297297297297,514111.2196860818
4.127277277277277,517701.2800149937
4.157257257257257,521250.6638456328
4.187237237237237,524771.189818414
4.217217217217217,528252.3012605975
4.247197197197197,531686.1458391582
4.277177177177177,535090.326216344
4.307157157157157,538453.960400443
4.3371371371371366,541772.6140903684
4.367117117117117,545052.8382951888
4.397097097097097,548299.0189359572
4.427077077077077,551494.7188638852
4.457057057057057,554651.2992217749
4.4870370370370365,557772.7311111111
4.517017017017017,560850.1389844313
4.546996996996997,563875.9177794158
4.576976976976977,566874.6519097821
4.606956956956957,569824.705326731
4.636936936936936,572723.7395790684
4.666916916916916,575591.5017454673
4.696896896896897,578415.6872982344
4.726876876876877,581185.9651229953
4.7568568568568566,583918.3094460417
4.786836836836836,586609.8410165058
4.816816816816816,589251.7835586224
4.846796796796797,591844.0350484528
4.876776776776777,594404.1539066726
4.9067567567567565,596911.1938511345
4.936736736736736,599367.8275235235
4.966716716716716,601788.7969199838
4.996696696696697,604162.9170454284
5.026676676676677,606482.0761150349
5.056656656656656,608763.4627843163
5.086636636636636,610998.2359312504
5.116616616616616,613180.7162720166
5.146596596596597,615317.2717622436
5.1765765765765765,617415.3184941537
5.206556556556556,619457.3943825527
5.236536536536536,621451.4990244285
5.266516516516516,623406.1496101207
5.296496496496496,625310.4667251082
5.3264764764764765,627157.4752508679
5.356456456456456,628969.9227869795
5.386436436436436,630729.7302601325
5.416416416416416,632432.8036870061
5.446396396396396,634098.2564642514
5.476376376376376,635716.2702795201
5.506356356356356,637276.0985366217
5.536336336336336,638791.5048536196
5.566316316316316,640262.4565335122
5.596296296296296,641680.7329109535
5.626276276276276,643043.4451806274
5.656256256256256,644370.7748686984
5.686236236236236,645641.7149354462
5.716216216216216,646857.3266200318
5.746196196196196,648035.2265852661
5.776176176176176,649162.0644222946
5.806156156156156,650230.7449148297
5.836136136136136,651257.8654051699
5.866116116116116,652238.1707979469
5.8960960960960955,653162.166458501
5.926076076076076,654037.7689322514
5.956056056056056,654873.164892893
5.986036036036036,655650.5272727621
6.016016016016016,656377.2081777948
6.0459959959959955,657064.2094057888
6.075975975975975,657699.0615441825
6.105955955955956,658275.8787563308
6.135935935935936,658815.7841351138
6.165915915915916,659303.1952304604
6.195895895895895,659731.3778828189
6.225875875875875,660122.302098098
6.255855855855856,660465.239307648
6.285835835835836,660750.2346971653
6.3158158158158155,660989.7945460355
6.345795795795795,661186.1570127148
6.375775775775775,661328.5615830723
6.405755755755756,661415.8421966459
6.435735735735736,661469.5453430451
6.4657157157157155,661467.4823389347
6.495695695695695,661409.8292450749
6.525675675675675,661315.5836193091
6.555655655655656,661171.4316585948
6.585635635635636,660970.5341067876
6.615615615615615,660728.9927681299
6.645595595595595,660442.4688988454
6.675575575575575,660100.7603786765
6.705555555555555,659712.5481560283
6.7355355355355355,659286.2572085276
6.765515515515515,658805.0035447787
6.795495495495495,658273.6025934445
6.825475475475475,657705.2775052927
6.855455455455455,657086.3212832833
6.8854354354354355,656411.7346297362
6.915415415415415,655704.1038847357
6.945395395395395,654947.6648632888
6.975375375375375,654133.3715948676
7.005355355355355,653286.4525602624
7.035335335335335,652394.3259601729
7.065315315315315,651446.778936937
7.095295295295295,650457.1707142461
7.125275275275275,649430.8372662875
7.155255255255255,648353.2035578558
7.185235235235235,647223.6521790301
7.215215215215215,646065.8404385349
7.245195195195195,644856.6963264967
7.275175175175175,643595.0815330651
7.305155155155155,642302.8155860116
7.335135135135135,640965.1173632027
